City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Kalmunai,LK,7.4167,81.8167,83.59,71,57,4.54
269,Phalaborwa,ZA,-23.943,31.1411,66.99,71,100,1.28
270,Adrar,MR,20.5022,-10.0711,68.45,14,2,9.46
271,Akonolinga,CM,3.7667,12.25,66.18,99,98,0.92
272,Xuddur,SO,4.1213,43.8894,75.76,73,67,10.04
273,Tazmalt,DZ,36.3868,4.3989,66.0,39,20,5.3
274,Kinshasa,CD,-4.3246,15.3215,71.19,91,96,1.3
275,Hasaki,JP,35.7333,140.8333,75.6,58,1,20.07
276,Afsin,TR,38.2477,36.914,46.08,38,0,1.3
277,Sterling,US,39.0062,-77.4286,57.18,90,75,3.44
278,Codrington,AU,-38.2667,141.9667,55.36,70,73,13.18
279,Tucuman,AR,-26.8241,-65.2226,53.6,35,0,9.22
280,Slave Lake,CA,55.2834,-114.769,15.71,91,92,1.97
281,Nimaparha,IN,20.0667,86.0167,82.8,51,89,5.77
282,Imbituba,BR,-28.24,-48.6703,56.34,89,76,7.2
283,Kozhva,RU,65.1073,57.0459,15.91,94,94,3.56
284,Komsomolskiy,UZ,40.4272,71.7189,54.32,82,75,2.3
285,Colesberg,ZA,-30.72,25.0972,61.27,78,100,15.73
286,Igurubi,TZ,-4.0,33.7,73.94,50,61,11.05
287,Port Augusta,AU,-32.5,137.7667,67.62,42,39,10.69
288,Maryborough,AU,-25.5333,152.7,78.35,23,0,5.7
289,Maldonado,UY,-34.6667,-54.9167,54.23,69,0,2.08
290,The Pas,CA,53.8251,-101.2541,24.57,93,100,8.08
291,Piracanjuba,BR,-17.3028,-49.0167,62.24,89,100,7.76
292,Lasa,IT,46.6166,10.7002,43.36,91,85,4.03
293,Mashhad,IR,36.297,59.6062,51.94,93,100,6.91
294,Terra Santa,BR,-2.1042,-56.4869,72.84,90,77,2.73
295,Bardiyah,LY,31.7561,25.0865,65.32,74,0,8.46
296,Puerto Quijarro,BO,-17.7833,-57.7667,58.8,41,1,5.77
297,Puerto Varas,CL,-41.3195,-72.9854,46.62,100,0,2.3
298,Tommot,RU,58.9564,126.2925,17.02,85,31,2.04
299,Pisco,PE,-13.7,-76.2167,60.85,88,0,5.75
300,Dongsheng,CN,39.8161,109.9776,39.61,35,10,9.69
301,Tatawin,TN,32.9297,10.4518,58.12,79,0,1.95
302,Viedma,AR,-40.8135,-62.9967,54.84,72,0,11.59
303,Haines Junction,CA,60.7522,-137.5108,24.69,94,100,3.91
304,Batsfjord,NO,70.6345,29.7185,35.53,93,100,17.27
305,Lingyuan,CN,41.24,119.4011,42.82,20,0,9.4
306,Asau,RO,46.4333,26.4,40.28,91,62,3.83
307,Zaragoza,ES,41.6561,-0.8773,59.45,73,20,1.99
308,Jennings,US,38.7192,-90.2604,63.84,69,0,6.91
309,Katobu,ID,-4.9408,122.5276,92.14,50,100,1.39
310,Arlit,NE,18.7369,7.3853,72.82,24,82,6.31
311,Souillac,MU,-20.5167,57.5167,77.38,69,40,12.66
312,Starozhilovo,RU,54.2254,39.916,30.13,85,42,8.95
313,Kursenai,LT,55.985,22.9189,48.45,96,100,5.97
314,Vila Do Maio,CV,15.1333,-23.2167,77.79,73,96,11.54
315,Moose Factory,CA,51.2585,-80.6094,47.48,80,100,11.39
316,Kumluca,TR,36.3703,30.2869,67.57,30,0,5.08
